,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count,hashtag,Users
60,2022-09-29 06:11:52+00:00,https://twitter.com/purposeuj/status/1575367738775715841,purposeuj,Twitter for Android,,"@hackSultan @enugutechsummit @hackSultan it was a pleasure to hear speak. I really enjoyed your part too. Of course, I'm #TechInspired",0,0,0,0,@,@purposeuj
61,2022-09-29 06:09:33+00:00,https://twitter.com/bethelchizzy/status/1575367155754967040,bethelchizzy,Twitter for iPhone,"Owerri, Nigeria",#TxESummitEnugu https://t.co/u6qb3vucR3,0,0,0,0,@,@bethelchizzy
62,2022-09-29 06:08:18+00:00,https://twitter.com/purposeuj/status/1575366842834718721,purposeuj,Twitter for Android,,@enugutechsummit @AronuUgochukwu thank you for the motivation. My coming down to Enugu wasn't in vain. I'm #TechInspired,0,0,0,0,@,@purposeuj
63,2022-09-29 05:57:13+00:00,https://twitter.com/ChristabelOlue3/status/1575364053672890369,ChristabelOlue3,Twitter for Android,,"Join me @ TxE summit Enugu
#TxEsummitEnugu
#TxEsummit2022",0,0,0,0,@,@ChristabelOlue3
64,2022-09-29 05:45:48+00:00,https://twitter.com/collinskaycee03/status/1575361179517591552,collinskaycee03,Twitter for Android,"Enugu, Nigeria",@enugutechsummit God bless you sir the honorable founder of #TxESummitEnugu We love you and your blessings... I wish to work with you someday.. God bless you sir,1,0,0,0,@,@collinskaycee03
65,2022-09-29 05:34:47+00:00,https://twitter.com/purposeuj/status/1575358406134824960,purposeuj,Twitter for Android,,"@enugutechsummit Tech it or leave it. 
I'm #TechInspired 
Thank you @williamsuchemba",2,0,0,0,@,@purposeuj
66,2022-09-29 05:01:19+00:00,https://twitter.com/onyemaekemmeso/status/1575349983586418690,onyemaekemmeso,Twitter for Android,🇳🇬,"TxE Summit Enugu 2022. Present 

Thank you Sir 
@williamsuchembah
@williamsuchembahfoundation

#TxEsummitEnugu
#TxEsummit2022 https://t.co/gNcP5wfVfW",0,0,0,0,@,@onyemaekemmeso
67,2022-09-29 04:13:55+00:00,https://twitter.com/TheImmmanuel/status/1575338055086530561,TheImmmanuel,Twitter for Android,"Enugu, Nigeria","The #TxESummitEnugu was fire!

Thank you to the @enugutechsummit team for putting something as wonderful as that together.

Thank you to our guest speakers  @hackSultan, @AronuUgochukwu, @NapaOnwusah and the others https://t.co/jUit06eedd",0,0,0,0,@,@TheImmmanuel
68,2022-09-29 03:31:54+00:00,https://twitter.com/Bigstepper_szn/status/1575327480591917058,Bigstepper_szn,Twitter for Android,Coal City,"Great! It wasn't just a SUMMIT it went beyond 🚀🔥
@William97724610 @hackSultan @AronuUgochukwu 
These are the Brains God used to sharpen young minds.....a lot was gained 🙌

@enugutechsummit #TxESummitEnugu #TxESummit #TxESummit
@Chukwudi_Derick ❤️💯 https://t.co/kDSzRp3vy9",4,0,0,0,@,@Bigstepper_szn
69,2022-09-29 03:17:04+00:00,https://twitter.com/AngelaRialuchi/status/1575323748152090624,AngelaRialuchi,Twitter for Android,"Enugu, Nigeria","You better find a way to collect my number because very soon I go blow
#OkeyEzeh
#TxESummitEnugu 
#TxESummit 
#TxEsummitEnugu2022 

My voltage go soon dey burn transformer😜😂 https://t.co/7TqaO91rVl",2,0,0,0,@,@AngelaRialuchi
70,2022-09-29 02:35:41+00:00,https://twitter.com/DanielChimuany5/status/1575313334227935234,DanielChimuany5,Twitter for Android,"Enugu, Nigeria","#TxEsummitEnugu
#TxEsummit2022 https://t.co/DhVQb72nv4",1,0,0,0,@,@DanielChimuany5
71,2022-09-29 02:34:17+00:00,https://twitter.com/DanielChimuany5/status/1575312980610322435,DanielChimuany5,Twitter for Android,"Enugu, Nigeria","#TxEsummitEnugu
#TxEsummit2022 https://t.co/uwdmLzTYG5",0,0,0,0,@,@DanielChimuany5
72,2022-09-29 01:59:56+00:00,https://twitter.com/Prestig440/status/1575304338850910213,Prestig440,Twitter for Android,"Enugu, Nigeria","Discipline preempt focus.. gingered and inspired.
#TxESummitEnugu 
#TxESummit2022 https://t.co/1Sin3GGVBu",0,0,0,0,@,@Prestig440
73,2022-09-29 01:00:49+00:00,https://twitter.com/ChisomImmacula1/status/1575289460773756931,ChisomImmacula1,Twitter for Android,Enugu Nigeria,"All about Enugu tech summit ❤️💝
Thank you@williamsuchemba for a wonderful opportunity.

#TxESummitEnugu
#TxESummit2022 https://t.co/OTv0oitEWb",1,0,0,0,@,@ChisomImmacula1
74,2022-09-29 00:31:30+00:00,https://twitter.com/Solomonbigbrain/status/1575282082158346240,Solomonbigbrain,Twitter for Android,Nigeria,@AirtelNigeria #TxESummitEnugu #TxESummit2022,0,0,0,0,@,@Solomonbigbrain
75,2022-09-29 00:20:27+00:00,https://twitter.com/phily_mona/status/1575279303125880835,phily_mona,Twitter for Android,Where am I? 👉,"Irresistible offers often create an illusion that a purchase is an invitation to participate, not a request to purchase, and they are self-explanatory. That's what yours should look like.

#TxEsummitEnugu
#TxESummit2022",1,0,0,0,@,@phily_mona
76,2022-09-29 00:20:01+00:00,https://twitter.com/ChiomzyLyn/status/1575279194723999749,ChiomzyLyn,Twitter for Android,"Enugu, Nigeria","#TXESUMMITENUGU
#UCHEWILLIAMSMBA https://t.co/xN9pvLh5ol",1,0,0,0,@,@ChiomzyLyn
77,2022-09-28 23:12:04+00:00,https://twitter.com/healthywealthi/status/1575262091161833472,healthywealthi,Twitter for Android,"Ebonyi, Nigeria ","If after listening to Pastor Okey Eze today and someone is not motivated to do more, then I wonder what will motivate such a one.
He literally spoke my sense into the alertness of what is at stack, and what I need to do. #TxESummit2022  @enugutechsummit https://t.co/wTc0SSPSnO",2,0,0,1,@,@healthywealthi
78,2022-09-28 23:05:03+00:00,https://twitter.com/healthywealthi/status/1575260324843986946,healthywealthi,Twitter for Android,"Ebonyi, Nigeria ","Nigeria will be great again🥳, today at #TxESummit2022 I saw what it means to be a change agent at your own space first, before expecting that same change at the higher level.
@williamsuchemba is a leadership force to reckon with. Thank you so much sir. 💪 https://t.co/ZK8ONcIenP",1,0,0,0,@,@healthywealthi
79,2022-09-28 22:46:26+00:00,https://twitter.com/Tochi_Melody_TM/status/1575255643421818881,Tochi_Melody_TM,Instagram,west Africa,"@pnmbah
 @williamsuchemba

I really learnt allot today
#txesummitenugu
#txesummit2022 @ Golden Heart Conference Centre https://t.co/JRYK48YGd9",0,0,0,0,@,@Tochi_Melody_TM
80,2022-09-28 22:17:42+00:00,https://twitter.com/_Bukha/status/1575248410315210752,_Bukha,Twitter for Android,,"#TxESummitEnugu 
Thanks to Mr Williams Uchemba and friends for touching the lives of so many young Nigerians through this inspiring summit. I am glad to have been there.
God bless you sir🙇🙇
#TxESummit2022 https://t.co/ZhzMUoquMx",1,0,0,0,@,@_Bukha
81,2022-09-28 22:14:56+00:00,https://twitter.com/Preciou79504195/status/1575247715881127947,Preciou79504195,Twitter for iPhone,,#TxESummitEnugu ❤️ https://t.co/W6ykrKe4uS,1,0,0,0,@,@Preciou79504195
82,2022-09-28 22:03:10+00:00,https://twitter.com/preshydev/status/1575244753159036928,preshydev,Twitter for Android,"Lagos, Nigeria",#txesummit2022 https://t.co/3RmrvVAUOE,0,0,0,0,@,@preshydev
83,2022-09-28 22:01:49+00:00,https://twitter.com/preshydev/status/1575244413889978368,preshydev,Twitter for Android,"Lagos, Nigeria",#txesummit2022🙌🙌🙌 https://t.co/W2V9etTHlt,0,0,0,0,@,@preshydev
84,2022-09-28 21:59:56+00:00,https://twitter.com/mr_stortle/status/1575243941196492800,mr_stortle,Twitter for iPhone,Canada IJN,#TxESummit2022 https://t.co/rGpGraPmf2,2,1,0,0,@,@mr_stortle
85,2022-09-28 21:59:01+00:00,https://twitter.com/Chukwudi_Derick/status/1575243710522347520,Chukwudi_Derick,Twitter for iPhone,"Lagos, Nigeria",#enugutechsummit2022 #TxESummitEnugu #TxESummit2022  The Speakers Were all Amazing…PRICESLESS Data Shared by @hackSultan @AronuUgochukwu was indeed worth Attending. https://t.co/aOSnDqGELd,4,0,0,1,@,@Chukwudi_Derick
86,2022-09-28 21:44:39+00:00,https://twitter.com/preciousmaduchi/status/1575240093383938049,preciousmaduchi,Twitter for Android,"Enugu, Nigeria","Tech is the future and it simplifes life! I had an amazing experience at the First ever Enugu Tech summit.

We had amazing speakers who impacted us with Knowledge!
I'm so glad I made it to the event.
Thank you Williams Uchemba Foundation.
#TxESummit2022 #TxESummit https://t.co/5fucTezIVg",6,0,0,0,@,@preciousmaduchi
87,2022-09-28 21:43:11+00:00,https://twitter.com/amyprisci7/status/1575239722796199936,amyprisci7,Twitter for iPhone,"Enugu, Nigeria",#TxESummitEnugu I’m so excited to be an attendee.. Thanks @williamuchemba for organizing this great summit. I hope to skyrocket my career to another level from today https://t.co/yz16h5xCJr,6,0,0,0,@,@amyprisci7
88,2022-09-28 21:42:51+00:00,https://twitter.com/Ogbechiarinze/status/1575239641800003584,Ogbechiarinze,Twitter for Android,"Enugu, Nigeria","#TxESummit2022
The two speakers that made my day on Enugu Tech Summit.
Am inspired to do more. https://t.co/wrwMtydyik",2,0,0,0,@,@Ogbechiarinze
89,2022-09-28 21:42:30+00:00,https://twitter.com/Data_Stand/status/1575239553694068737,Data_Stand,Twitter for Android,,"In the TxE Summit Enugu today, a speaker said ""Tech is the future and data is the new Gold"" and an attendee beside me turned to me and said 'no matter how broke you are, you will always have data""😅😅

#TxESummit2022 #TxEsummitEnugu2022 #dataAnalyst 
#DataFestAfrica22 https://t.co/PBPcWo0QCc",2,1,0,0,@,@Data_Stand
